"name","primaryColor","sessionId","rating"
"Shining Armor","#f0f0f0","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Tantabus","#000031","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Gladmane","#7f74c1","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Nightmare Moon","#000406","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Rover (Diamond Dogs)","#939393","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Shadowbolts","#32323c","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Mr. Cake","#f0e93d","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Grogar","#2286d8","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Vampire Fruit Bat","#5e5957","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Queen Novo","#f8ebf5","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Queen Chrysalis","#313131","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Tempest Shadow","#52284c","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Princess Celestia","#fcf7f9","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Twilight Sparkle","#cc93dd","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Babs Seed","#e0a145","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Sunset Shimmer","#fecf69","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Queen Novo","#f8ebf5","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"The Hydra","#b5883f","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Gilda","#af9246","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Filthy Rich","#d4bb80","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Cockatrice","#378f90","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Spike","#c391c6","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Flutterbat","#babea3","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Storm King","#706d86","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Wind Rider","#a9d6e7","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Windigos","#6da8bd","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Grubber","#465162","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Scootaloo","#f9b864","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Cozy Glow","#fbd8d3","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SKIPPED"
"Cherilee","#b26693","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Spot (Diamond Dogs)","#b7a384","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Princess Luna","#6265bb","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Rover (Diamond Dogs)","#939393","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Timberwolves","#3d2e21","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Mayor Mare","#d8c7a0","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Pinkie Pie","#f9b8d2","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Tirek","#a12e45","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Pony of Shadows","#424242","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Discord","#68413d","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Flutterbat","#babea3","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Rarity","#edeef9","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Fluttershy","#fdf6af","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Mane-iac","#7763a5","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Scootaloo","#f9b864","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Thorax","#292929","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Windigos","#6da8bd","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Princess Celestia","#fcf7f9","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Fido (Diamond Dogs)","#98acba","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Daybreaker","#fff4e3","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Maud Pie","#b8b7be","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Cockatrice","#378f90","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Filthy Rich","#d4bb80","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","NEITHER_NICE_NOR_MEAN"
"Yona","#d1b982","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Braeburn","#f4eb88","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Sweetie Belle","#ede8ee","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Spike","#c391c6","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Discord","#68413d","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Spot (Diamond Dogs)","#b7a384","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Trixie Lulamoon","#70ade0","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Capper Dapperpaws","#d1873d","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Queen Chrysalis","#313131","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Sweetie Belle","#ede8ee","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Daring Do","#d9bf61","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Applejack","#faba62","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Changelings","#2b2b2b","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Mrs. Cake","#90eeff","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Cozy Glow","#fbd8d3","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Trixie Lulamoon","#70ade0","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_MEAN"
"Cherilee","#b26693","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Parasprites","#428ec2","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Diamond Tiara","#fbc3ff","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"King Sombra","#4e4e4e","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Gladmane","#7f74c1","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SKIPPED"
"Mrs. Cake","#90eeff","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Smolder","#e29c25","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_MEAN"
"Granny Smith","#d2f391","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Grogar","#2286d8","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Gilda","#af9246","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Silver Spoon","#a2b4c2","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Yona","#d1b982","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Rarity","#edeef9","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Nurse Redheart","#ffffff","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Applejack","#faba62","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"King Sombra","#4e4e4e","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Fluttershy","#fdf6af","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Granny Smith","#d2f391","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Garble","#981926","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Rainbow Dash","#b3e8fe","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Timberwolves","#3d2e21","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Daring Do","#d9bf61","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_MEAN"
"Pinkie Pie","#f9b8d2","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"The Hydra","#b5883f","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Princess Cadance","#f9c3e4","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Shadowbolts","#32323c","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_MEAN"
"Changelings","#2b2b2b","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Nightmare Moon","#000406","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Princess Cadance","#f9c3e4","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Tempest Shadow","#52284c","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Filthy Rich","#d4bb80","4ee7054c-beba-4ff1-a678-3f86b9de44bb","VERY_MEAN"
"Big McIntosh","#d9385a","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","NEITHER_NICE_NOR_MEAN"
"Grubber","#465162","4ee7054c-beba-4ff1-a678-3f86b9de44bb","SOMEWHAT_MEAN"
"Shining Armor","#f0f0f0","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Thorax","#292929","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Sunset Shimmer","#fecf69","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Parasprites","#428ec2","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","NEITHER_NICE_NOR_MEAN"
"Babs Seed","#e0a145","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Spoiled Rich","#dd9ca4","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Starlight Glimmer","#edbcf3","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Vampire Fruit Bat","#5e5957","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","NEITHER_NICE_NOR_MEAN"
"Tirek","#a12e45","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Silver Spoon","#a2b4c2","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Capper Dapperpaws","#d1873d","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Silverstream","#f9d8fa","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Twilight Sparkle","#cc93dd","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Grubber","#465162","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Wind Rider","#a9d6e7","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SKIPPED"
"Twilight Sparkle","#cc93dd","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Apple Bloom","#f3f49b","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_NICE"
"Flim Flam Brothers","#efefa6","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_MEAN"
"Chimera","#dc7c30","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Mr. Cake","#f0e93d","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","SOMEWHAT_NICE"
"Tantabus","#000031","b0cd7387-4d3e-4c87-8fb5-364106b8fa77","VERY_MEAN"
"Yona","#d1b982","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Smolder","#e29c25","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Changelings","#2b2b2b","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Gilda","#af9246","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Shadowbolts","#32323c","4893a6f5-4918-444b-bdb9-957301dad44f","SKIPPED"
"Nightmare Moon","#000406","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Flim Flam Brothers","#efefa6","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"Granny Smith","#d2f391","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Thorax","#292929","4893a6f5-4918-444b-bdb9-957301dad44f","NEITHER_NICE_NOR_MEAN"
"Spoiled Rich","#dd9ca4","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Timberwolves","#3d2e21","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Grogar","#2286d8","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Tempest Shadow","#52284c","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Maud Pie","#b8b7be","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Wind Rider","#a9d6e7","4893a6f5-4918-444b-bdb9-957301dad44f","SKIPPED"
"Nurse Redheart","#ffffff","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Gladmane","#7f74c1","4893a6f5-4918-444b-bdb9-957301dad44f","SKIPPED"
"Chimera","#dc7c30","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Cockatrice","#378f90","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Diamond Tiara","#fbc3ff","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Flutterbat","#babea3","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"Princess Celestia","#fcf7f9","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Tirek","#a12e45","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Fluttershy","#fdf6af","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Rainbow Dash","#b3e8fe","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Queen Novo","#f8ebf5","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Braeburn","#f4eb88","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Capper Dapperpaws","#d1873d","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Spot (Diamond Dogs)","#b7a384","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Rover (Diamond Dogs)","#939393","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Apple Bloom","#f3f49b","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Daybreaker","#fff4e3","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Parasprites","#428ec2","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Mr. Cake","#f0e93d","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Cherilee","#b26693","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Garble","#981926","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Vampire Fruit Bat","#5e5957","4893a6f5-4918-444b-bdb9-957301dad44f","SKIPPED"
"Starlight Glimmer","#edbcf3","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Mrs. Cake","#90eeff","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Queen Chrysalis","#313131","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Mane-iac","#7763a5","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"King Sombra","#4e4e4e","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Spike","#c391c6","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Fido (Diamond Dogs)","#98acba","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Daring Do","#d9bf61","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Silver Spoon","#a2b4c2","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"Scootaloo","#f9b864","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Filthy Rich","#d4bb80","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"Storm King","#706d86","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Sweetie Belle","#ede8ee","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Discord","#68413d","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"Silverstream","#f9d8fa","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Windigos","#6da8bd","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Princess Cadance","#f9c3e4","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Tantabus","#000031","4893a6f5-4918-444b-bdb9-957301dad44f","NEITHER_NICE_NOR_MEAN"
"Princess Luna","#6265bb","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Applejack","#faba62","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Sunset Shimmer","#fecf69","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Rarity","#edeef9","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Shining Armor","#f0f0f0","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Pinkie Pie","#f9b8d2","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Cozy Glow","#fbd8d3","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_MEAN"
"The Hydra","#b5883f","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_MEAN"
"Pony of Shadows","#424242","4893a6f5-4918-444b-bdb9-957301dad44f","SKIPPED"
"Big McIntosh","#d9385a","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Mayor Mare","#d8c7a0","4893a6f5-4918-444b-bdb9-957301dad44f","VERY_NICE"
"Babs Seed","#e0a145","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Trixie Lulamoon","#70ade0","4893a6f5-4918-444b-bdb9-957301dad44f","SOMEWHAT_NICE"
"Daring Do","#d9bf61","14c14386-4afc-4466-915a-e41b7b36a096","VERY_NICE"
"Cockatrice","#378f90","4d63d848-46e8-4b4c-8bf6-874bfccc19cf","VERY_MEAN"
"Sweetie Belle","#ede8ee","43569548-3032-449d-873e-e25c11a8e9a0","SOMEWHAT_NICE"
"Big McIntosh","#d9385a","43569548-3032-449d-873e-e25c11a8e9a0","NEITHER_NICE_NOR_MEAN"
"Applejack","#faba62","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_NICE"
"Sunset Shimmer","#fecf69","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"Spot (Diamond Dogs)","#b7a384","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Sweetie Belle","#ede8ee","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_NICE"
"King Sombra","#4e4e4e","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Cozy Glow","#fbd8d3","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"Queen Novo","#f8ebf5","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"Trixie Lulamoon","#70ade0","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_MEAN"
"Fido (Diamond Dogs)","#98acba","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Daybreaker","#fff4e3","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"Nurse Redheart","#ffffff","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_NICE"
"Flutterbat","#babea3","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_MEAN"
"Princess Celestia","#fcf7f9","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_NICE"
"Shining Armor","#f0f0f0","b6473aa3-74c2-44c3-be57-6811114e6f4f","NEITHER_NICE_NOR_MEAN"
"Mane-iac","#7763a5","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Yona","#d1b982","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"Garble","#981926","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_MEAN"
"Gladmane","#7f74c1","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"Rover (Diamond Dogs)","#939393","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Flim Flam Brothers","#efefa6","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_MEAN"
"Timberwolves","#3d2e21","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Spoiled Rich","#dd9ca4","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Wind Rider","#a9d6e7","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_MEAN"
"Parasprites","#428ec2","b6473aa3-74c2-44c3-be57-6811114e6f4f","NEITHER_NICE_NOR_MEAN"
"Tempest Shadow","#52284c","b6473aa3-74c2-44c3-be57-6811114e6f4f","SKIPPED"
"The Hydra","#b5883f","b6473aa3-74c2-44c3-be57-6811114e6f4f","SOMEWHAT_MEAN"
"Chimera","#dc7c30","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_MEAN"
"Mr. Cake","#f0e93d","b6473aa3-74c2-44c3-be57-6811114e6f4f","VERY_NICE"
